,duration_ms,uri,tempo,album_cover,loudness,name,explicit,id,liveness,indexing,album,popularity,href,speechiness,danceability,key,energy,valence,instrumentalness,acousticness,mode,time_signature,artist,genres
0,43613.0,spotify:track:5d4ERnrRRe9o4I7aFLFTvP,105.189,https://i.scdn.co/image/ab67616d00001e028c71f034556adae8d540c46f,-7.663,Back in the 90's,False,5d4ERnrRRe9o4I7aFLFTvP,0.292,"['b', 'ba', 'bac', 'back', 'back ', 'back i', 'back in', 'back in ', 'back in t', 'back in th', 'back in the', 'back in the ', 'back in the 9', 'back in the 90', ""back in the 90'"", ""back in the 90's""]",BoJack Horseman (Music from the Netflix Original Series),59.0,https://api.spotify.com/v1/tracks/5d4ERnrRRe9o4I7aFLFTvP,0.0306,0.479,9.0,0.463,0.649,0.0,0.654,1.0,4.0,Grouplove,"['indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp and holler']"
1,48978.0,spotify:track:5iE3PXOTikU7vxZGJLuzIH,120.031,https://i.scdn.co/image/ab67616d00001e02b0fac250bc856e802d002f52,-14.801,Benjamin Blümchen Lied,False,5iE3PXOTikU7vxZGJLuzIH,0.605,"['b', 'be', 'ben', 'benj', 'benja', 'benjam', 'benjami', 'benjamin', 'benjamin ', 'benjamin b', 'benjamin bl', 'benjamin blü', 'benjamin blüm', 'benjamin blümc', 'benjamin blümch', 'benjamin blümche', 'benjamin blümchen', 'benjamin blümchen ', 'benjamin blümchen l', 'benjamin blümchen li', 'benjamin blümchen lie', 'benjamin blümchen lied']",Folge 1: als Wetterelefant,51.0,https://api.spotify.com/v1/tracks/5iE3PXOTikU7vxZGJLuzIH,0.0699,0.819,11.0,0.325,0.969,0.0,0.604,1.0,4.0,Benjamin Blümchen,['hoerspiel']
2,52600.0,spotify:track:2GBjsCkCpR5w8Zri9aE49H,112.412,https://i.scdn.co/image/ab67616d00001e02e71a5005c37e8c2ffd9beda8,-13.694,Interlude: I'm Not Angry Anymore,False,2GBjsCkCpR5w8Zri9aE49H,0.115,"['i', 'in', 'int', 'inte', 'inter', 'interl', 'interlu', 'interlud', 'interlude', 'interlude:', 'interlude: ', 'interlude: i', ""interlude: i'"", ""interlude: i'm"", ""interlude: i'm "", ""interlude: i'm n"", ""interlude: i'm no"", ""interlude: i'm not"", ""interlude: i'm not "", ""interlude: i'm not a"", ""interlude: i'm not an"", ""interlude: i'm not ang"", ""interlude: i'm not angr"", ""interlude: i'm not angry"", ""interlude: i'm not angry "", ""interlude: i'm not angry a"", ""interlude: i'm not angry an"", ""interlude: i'm not angry any"", ""interlude: i'm not angry anym"", ""interlude: i'm not angry anymo"", ""interlude: i'm not angry anymor"", ""interlude: i'm not angry anymore""]",Paramore,72.0,https://api.spotify.com/v1/tracks/2GBjsCkCpR5w8Zri9aE49H,0.091,0.469,7.0,0.309,0.235,0.0,0.965,1.0,4.0,Paramore,"['candy pop', 'pixie', 'pop emo', 'pop punk']"
3,68696.0,spotify:track:6DD5beNG6Ji3AYp5WrYnwD,158.158,https://i.scdn.co/image/ab67616d00001e02f9f724cac623b4340bf1a5b3,-5.509,What's New Scooby-Doo?,False,6DD5beNG6Ji3AYp5WrYnwD,0.11,"['w', 'wh', 'wha', 'what', ""what'"", ""what's"", ""what's "", ""what's n"", ""what's ne"", ""what's new"", ""what's new "", ""what's new s"", ""what's new sc"", ""what's new sco"", ""what's new scoo"", ""what's new scoob"", ""what's new scooby"", ""what's new scooby-"", ""what's new scooby-d"", ""what's new scooby-do"", ""what's new scooby-doo"", ""what's new scooby-doo?""]",What's New Scooby-Doo?,63.0,https://api.spotify.com/v1/tracks/6DD5beNG6Ji3AYp5WrYnwD,0.0807,0.486,1.0,0.946,0.509,0.0001,8.94e-05,1.0,4.0,Simple Plan,"['canadian pop punk', 'canadian punk', 'canadian rock', 'pop punk']"
4,68760.0,spotify:track:0rHToGels2lt8Y0mCYoF90,107.607,,-10.522,Deck The Halls,,0rHToGels2lt8Y0mCYoF90,0.224,,,65.0,https://api.spotify.com/v1/tracks/0rHToGels2lt8Y0mCYoF90,0.0491,0.684,9.0,0.437,0.964,1.58e-05,0.742,1.0,4.0,,
5,69901.0,spotify:track:2yBMVrq96wb9OHbMdBs0lF,131.352,https://i.scdn.co/image/ab67616d00001e02d72fb5571087bca0a2fed008,-10.834,A Winter's Ball,False,2yBMVrq96wb9OHbMdBs0lF,0.0889,"['a', 'a ', 'a w', 'a wi', 'a win', 'a wint', 'a winte', 'a winter', ""a winter'"", ""a winter's"", ""a winter's "", ""a winter's b"", ""a winter's ba"", ""a winter's bal"", ""a winter's ball""]",Hamilton (Original Broadway Cast Recording),69.0,https://api.spotify.com/v1/tracks/2yBMVrq96wb9OHbMdBs0lF,0.507,0.854,8.0,0.327,0.688,0.0,0.41,1.0,4.0,Leslie Odom Jr.,"['hollywood', 'show tunes']"
6,75849.0,spotify:track:3KG9I4JXpDwNQOsotE3uLh,116.941,https://i.scdn.co/image/ab67616d00001e0249f6cc2b9a5828ae0210fd46,-39.053,The Departure,False,3KG9I4JXpDwNQOsotE3uLh,0.0964,"['t', 'th', 'the', 'the ', 'the d', 'the de', 'the dep', 'the depa', 'the depar', 'the depart', 'the departu', 'the departur', 'the departure']",The Leftovers: Season 1 (Music from the HBO Series),63.0,https://api.spotify.com/v1/tracks/3KG9I4JXpDwNQOsotE3uLh,0.0447,0.384,0.0,0.00341,0.117,0.943,0.996,0.0,4.0,Max Richter,"['compositional ambient', 'post-minimalism']"
7,77773.0,spotify:track:4WYmLfVWZUj4yccp45AccF,72.468,https://i.scdn.co/image/ab67616d00001e02b531d013dd295b8363128557,-18.305,"Twinkle, Twinkle Little Star",False,4WYmLfVWZUj4yccp45AccF,0.14,"['t', 'tw', 'twi', 'twin', 'twink', 'twinkl', 'twinkle', 'twinkle,', 'twinkle, ', 'twinkle, t', 'twinkle, tw', 'twinkle, twi', 'twinkle, twin', 'twinkle, twink', 'twinkle, twinkl', 'twinkle, twinkle', 'twinkle, twinkle ', 'twinkle, twinkle l', 'twinkle, twinkle li', 'twinkle, twinkle lit', 'twinkle, twinkle litt', 'twinkle, twinkle littl', 'twinkle, twinkle little', 'twinkle, twinkle little ', 'twinkle, twinkle little s', 'twinkle, twinkle little st', 'twinkle, twinkle little sta', 'twinkle, twinkle little star']",Scarborough Fair,47.0,https://api.spotify.com/v1/tracks/4WYmLfVWZUj4yccp45AccF,0.0739,0.541,0.0,0.0184,0.483,0.893,0.995,1.0,5.0,Michael Silverman,['pianissimo']
8,78547.0,spotify:track:6a7vpKrVXdAyMItaQI9ZYS,114.728,https://i.scdn.co/image/ab67616d00001e02e2821b1458ab996fdf2c47ad,-21.918,Vladimir's Blues,False,6a7vpKrVXdAyMItaQI9ZYS,0.105,"['v', 'vl', 'vla', 'vlad', 'vladi', 'vladim', 'vladimi', 'vladimir', ""vladimir'"", ""vladimir's"", ""vladimir's "", ""vladimir's b"", ""vladimir's bl"", ""vladimir's blu"", ""vladimir's blue"", ""vladimir's blues""]",The Blue Notebooks (15 Years),62.0,https://api.spotify.com/v1/tracks/6a7vpKrVXdAyMItaQI9ZYS,0.0676,0.375,9.0,0.165,0.0581,0.901,0.995,1.0,3.0,Max Richter,"['compositional ambient', 'post-minimalism']"
9,79271.0,spotify:track:1Ae2QJGUPtnCzdA4XYn1NF,145.046,https://i.scdn.co/image/ab67616d00001e02b5ea1cb4ed9ef489db89597f,-5.497,Flesh,True,1Ae2QJGUPtnCzdA4XYn1NF,0.105,"['f', 'fl', 'fle', 'fles', 'flesh']",N / O / I / S / E,71.0,https://api.spotify.com/v1/tracks/1Ae2QJGUPtnCzdA4XYn1NF,0.283,0.666,0.0,0.7,0.294,0.12,0.0379,1.0,4.0,Ghostemane,"['dark trap', 'florida rap']"
10,82200.0,spotify:track:4cNpO3kF8rqcH8G3huFCJp,115.165,https://i.scdn.co/image/ab67616d00001e02d32c61683be0aed19bafcf99,-14.275,you are my sunshine,False,4cNpO3kF8rqcH8G3huFCJp,0.353,"['y', 'yo', 'you', 'you ', 'you a', 'you ar', 'you are', 'you are ', 'you are m', 'you are my', 'you are my ', 'you are my s', 'you are my su', 'you are my sun', 'you are my suns', 'you are my sunsh', 'you are my sunshi', 'you are my sunshin', 'you are my sunshine']",songs for carmella: lullabies & sing-a-longs,68.0,https://api.spotify.com/v1/tracks/4cNpO3kF8rqcH8G3huFCJp,0.0426,0.574,10.0,0.121,0.657,1.04e-06,0.978,1.0,4.0,Christina Perri,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']"
11,84062.0,spotify:track:2JxS3A9SqhMz1N48u08mEu,74.991,https://i.scdn.co/image/ab67616d00001e02b11162ca9ed88437eefa6cac,-42.23,Classical Piano Music for Baby Sleep,False,2JxS3A9SqhMz1N48u08mEu,0.0979,"['c', 'cl', 'cla', 'clas', 'class', 'classi', 'classic', 'classica', 'classical', 'classical ', 'classical p', 'classical pi', 'classical pia', 'classical pian', 'classical piano', 'classical piano ', 'classical piano m', 'classical piano mu', 'classical piano mus', 'classical piano musi', 'classical piano music', 'classical piano music ', 'classical piano music f', 'classical piano music fo', 'classical piano music for', 'classical piano music for ', 'classical piano music for b', 'classical piano music for ba', 'classical piano music for bab', 'classical piano music for baby', 'classical piano music for baby ', 'classical piano music for baby s', 'classical piano music for baby sl', 'classical piano music for baby sle', 'classical piano music for baby slee', 'classical piano music for baby sleep']",Baby Lullaby: Relaxing Piano Lullabies and Natural Sleep Aid for Baby Sleep Music,58.0,https://api.spotify.com/v1/tracks/2JxS3A9SqhMz1N48u08mEu,0.0291,0.477,6.0,0.00753,0.19,1.33e-06,0.94,1.0,3.0,Baby Lullaby Academy,['lullaby']
12,84987.0,spotify:track:1VuAamHM7P3VQQEXYGG3Uu,101.918,https://i.scdn.co/image/ab67616d00001e02cb474d056615c2c9b49bb4e6,-10.334,Joy To The World,False,1VuAamHM7P3VQQEXYGG3Uu,0.113,"['j', 'jo', 'joy', 'joy ', 'joy t', 'joy to', 'joy to ', 'joy to t', 'joy to th', 'joy to the', 'joy to the ', 'joy to the w', 'joy to the wo', 'joy to the wor', 'joy to the worl', 'joy to the world']",The Christmas Song (Expanded Edition),65.0,https://api.spotify.com/v1/tracks/1VuAamHM7P3VQQEXYGG3Uu,0.03,0.553,10.0,0.337,0.662,0.0,0.818,1.0,4.0,Nat King Cole,"['adult standards', 'lounge', 'vocal jazz']"
13,85267.0,spotify:track:4tHqQMWSqmL6YjXwsqthDI,46.718,https://i.scdn.co/image/ab67616d00001e02a68c06155b7c3cf82b00cb96,-22.507,Carol of the Bells,False,4tHqQMWSqmL6YjXwsqthDI,0.179,"['c', 'ca', 'car', 'caro', 'carol', 'carol ', 'carol o', 'carol of', 'carol of ', 'carol of t', 'carol of th', 'carol of the', 'carol of the ', 'carol of the b', 'carol of the be', 'carol of the bel', 'carol of the bell', 'carol of the bells']",Home Alone (Original Motion Picture Soundtrack) [Anniversary Edition],66.0,https://api.spotify.com/v1/tracks/4tHqQMWSqmL6YjXwsqthDI,0.0448,0.418,8.0,0.106,0.8,0.0292,0.994,0.0,4.0,Mykola Dmytrovych Leontovych,"['orchestral soundtrack', 'soundtrack']"
14,85360.0,spotify:track:2SabxRgV7VMc1LRHgw0HIo,124.091,https://i.scdn.co/image/ab67616d00001e0209d54dc63b8d61cef9e977e5,-7.404,nuts (feat. rainy bear),True,2SabxRgV7VMc1LRHgw0HIo,0.111,"['n', 'nu', 'nut', 'nuts', 'nuts ', 'nuts (', 'nuts (f', 'nuts (fe', 'nuts (fea', 'nuts (feat', 'nuts (feat.', 'nuts (feat. ', 'nuts (feat. r', 'nuts (feat. ra', 'nuts (feat. rai', 'nuts (feat. rain', 'nuts (feat. rainy', 'nuts (feat. rainy ', 'nuts (feat. rainy b', 'nuts (feat. rainy be', 'nuts (feat. rainy bea', 'nuts (feat. rainy bear', 'nuts (feat. rainy bear)']",nuts (feat. rainy bear),81.0,https://api.spotify.com/v1/tracks/2SabxRgV7VMc1LRHgw0HIo,0.0356,0.576,2.0,0.741,0.143,0.0,0.00831,1.0,4.0,Lil Peep,"['emo rap', 'lgbtq+ hip hop']"
15,86160.0,spotify:track:1YWY0dnutW2Zx61OPFyDLF,67.479,https://i.scdn.co/image/ab67616d00001e02b5d4b4ed17ec86c4b3944af2,-6.621,Too Far Gone,False,1YWY0dnutW2Zx61OPFyDLF,0.107,"['t', 'to', 'too', 'too ', 'too f', 'too fa', 'too far', 'too far ', 'too far g', 'too far go', 'too far gon', 'too far gone']",A Star Is Born Soundtrack (Without Dialogue),52.0,https://api.spotify.com/v1/tracks/1YWY0dnutW2Zx61OPFyDLF,0.0251,0.565,7.0,0.482,0.342,1.98e-05,0.0385,1.0,4.0,Bradley Cooper,['hollywood']
16,89973.0,spotify:track:5J3LR9JWrZIUTG7UGZkIKg,122.998,https://i.scdn.co/image/ab67616d00001e02b1950512a3bc3b9a36ad317d,-6.962,Slingshot,True,5J3LR9JWrZIUTG7UGZkIKg,0.129,"['s', 'sl', 'sli', 'slin', 'sling', 'slings', 'slingsh', 'slingsho', 'slingshot']",TOTAL XANARCHY,61.0,https://api.spotify.com/v1/tracks/5J3LR9JWrZIUTG7UGZkIKg,0.252,0.928,7.0,0.778,0.668,6.27e-06,0.0562,0.0,4.0,Lil Xan,"['emo rap', 'underground hip hop', 'vapor trap']"
17,90500.0,spotify:track:25hhL750SqY7njk8OW5qGK,89.975,https://i.scdn.co/image/ab67616d00001e02224891badd88dbd4882ced43,-12.076,Do I Wanna Know?,False,25hhL750SqY7njk8OW5qGK,0.229,"['d', 'do', 'do ', 'do i', 'do i ', 'do i w', 'do i wa', 'do i wan', 'do i wann', 'do i wanna', 'do i wanna ', 'do i wanna k', 'do i wanna kn', 'do i wanna kno', 'do i wanna know', 'do i wanna know?']",Lofi Fruits Music,50.0,https://api.spotify.com/v1/tracks/25hhL750SqY7njk8OW5qGK,0.0362,0.758,0.0,0.37,0.374,0.961,0.952,0.0,4.0,Lofi Fruits Music,"['lo-fi cover', 'lo-fi product']"
18,90500.0,spotify:track:69q459BucSa0ChRuCFRWIP,89.975,,-12.076,Do I Wanna Know?,,69q459BucSa0ChRuCFRWIP,0.229,,,59.0,https://api.spotify.com/v1/tracks/69q459BucSa0ChRuCFRWIP,0.0362,0.758,0.0,0.37,0.374,0.961,0.952,0.0,4.0,,
19,91077.0,spotify:track:2OVtgU8dkpEMwbZfYPpxio,119.845,https://i.scdn.co/image/ab67616d00001e0282480a5deeacd4c5e5e3e4dc,-15.971,Kapitel 09: auf Weltreise (Folge 150),False,2OVtgU8dkpEMwbZfYPpxio,0.643,"['k', 'ka', 'kap', 'kapi', 'kapit', 'kapite', 'kapitel', 'kapitel ', 'kapitel 0', 'kapitel 09', 'kapitel 09:', 'kapitel 09: ', 'kapitel 09: a', 'kapitel 09: au', 'kapitel 09: auf', 'kapitel 09: auf ', 'kapitel 09: auf w', 'kapitel 09: auf we', 'kapitel 09: auf wel', 'kapitel 09: auf welt', 'kapitel 09: auf weltr', 'kapitel 09: auf weltre', 'kapitel 09: auf weltrei', 'kapitel 09: auf weltreis', 'kapitel 09: auf weltreise', 'kapitel 09: auf weltreise ', 'kapitel 09: auf weltreise (', 'kapitel 09: auf weltreise (f', 'kapitel 09: auf weltreise (fo', 'kapitel 09: auf weltreise (fol', 'kapitel 09: auf weltreise (folg', 'kapitel 09: auf weltreise (folge', 'kapitel 09: auf weltreise (folge ', 'kapitel 09: auf weltreise (folge 1', 'kapitel 09: auf weltreise (folge 15', 'kapitel 09: auf weltreise (folge 150', 'kapitel 09: auf weltreise (folge 150)']",Folge 150: auf Weltreise,48.0,https://api.spotify.com/v1/tracks/2OVtgU8dkpEMwbZfYPpxio,0.873,0.794,11.0,0.455,0.358,0.0,0.482,1.0,3.0,Benjamin Blümchen,['hoerspiel']
20,91203.0,spotify:track:6vnCidsoZMj5Arlq8pH373,82.358,https://i.scdn.co/image/ab67616d00001e02f6af94dec7d47a6313cd6307,-23.113,Kapitel 08: Mit Papi allein zu Haus (Folge 141),False,6vnCidsoZMj5Arlq8pH373,0.439,"['k', 'ka', 'kap', 'kapi', 'kapit', 'kapite', 'kapitel', 'kapitel ', 'kapitel 0', 'kapitel 08', 'kapitel 08:', 'kapitel 08: ', 'kapitel 08: m', 'kapitel 08: mi', 'kapitel 08: mit', 'kapitel 08: mit ', 'kapitel 08: mit p', 'kapitel 08: mit pa', 'kapitel 08: mit pap', 'kapitel 08: mit papi', 'kapitel 08: mit papi ', 'kapitel 08: mit papi a', 'kapitel 08: mit papi al', 'kapitel 08: mit papi all', 'kapitel 08: mit papi alle', 'kapitel 08: mit papi allei', 'kapitel 08: mit papi allein', 'kapitel 08: mit papi allein ', 'kapitel 08: mit papi allein z', 'kapitel 08: mit papi allein zu', 'kapitel 08: mit papi allein zu ', 'kapitel 08: mit papi allein zu h', 'kapitel 08: mit papi allein zu ha', 'kapitel 08: mit papi allein zu hau', 'kapitel 08: mit papi allein zu haus', 'kapitel 08: mit papi allein zu haus ', 'kapitel 08: mit papi allein zu haus (', 'kapitel 08: mit papi allein zu haus (f', 'kapitel 08: mit papi allein zu haus (fo', 'kapitel 08: mit papi allein zu haus (fol', 'kapitel 08: mit papi allein zu haus (folg', 'kapitel 08: mit papi allein zu haus (folge', 'kapitel 08: mit papi allein zu haus (folge ', 'kapitel 08: mit papi allein zu haus (folge 1', 'kapitel 08: mit papi allein zu haus (folge 14', 'kapitel 08: mit papi allein zu haus (folge 141', 'kapitel 08: mit papi allein zu haus (folge 141)']",Folge 141: Mit Papi allein zu Haus,54.0,https://api.spotify.com/v1/tracks/6vnCidsoZMj5Arlq8pH373,0.935,0.755,6.0,0.208,0.58,0.0,0.795,0.0,4.0,Bibi Blocksberg,['hoerspiel']
21,91288.0,spotify:track:1W24W6jQegnNh0x5DfBBPT,162.85,https://i.scdn.co/image/ab67616d00001e02cd81b9f0393348b6537c9d92,-6.115,The Grinch,True,1W24W6jQegnNh0x5DfBBPT,0.0981,"['t', 'th', 'the', 'the ', 'the g', 'the gr', 'the gri', 'the grin', 'the grinc', 'the grinch']",A Love Letter To You 4,79.0,https://api.spotify.com/v1/tracks/1W24W6jQegnNh0x5DfBBPT,0.0971,0.676,8.0,0.503,0.196,6.36e-05,0.137,1.0,4.0,Trippie Redd,"['melodic rap', 'rap', 'trap']"
22,91597.0,spotify:track:6F70G1nJjYk828Zbm0enRg,72.149,https://i.scdn.co/image/ab67616d00001e02f6af94dec7d47a6313cd6307,-21.335,Kapitel 04: Mit Papi allein zu Haus (Folge 141),False,6F70G1nJjYk828Zbm0enRg,0.688,"['k', 'ka', 'kap', 'kapi', 'kapit', 'kapite', 'kapitel', 'kapitel ', 'kapitel 0', 'kapitel 04', 'kapitel 04:', 'kapitel 04: ', 'kapitel 04: m', 'kapitel 04: mi', 'kapitel 04: mit', 'kapitel 04: mit ', 'kapitel 04: mit p', 'kapitel 04: mit pa', 'kapitel 04: mit pap', 'kapitel 04: mit papi', 'kapitel 04: mit papi ', 'kapitel 04: mit papi a', 'kapitel 04: mit papi al', 'kapitel 04: mit papi all', 'kapitel 04: mit papi alle', 'kapitel 04: mit papi allei', 'kapitel 04: mit papi allein', 'kapitel 04: mit papi allein ', 'kapitel 04: mit papi allein z', 'kapitel 04: mit papi allein zu', 'kapitel 04: mit papi allein zu ', 'kapitel 04: mit papi allein zu h', 'kapitel 04: mit papi allein zu ha', 'kapitel 04: mit papi allein zu hau', 'kapitel 04: mit papi allein zu haus', 'kapitel 04: mit papi allein zu haus ', 'kapitel 04: mit papi allein zu haus (', 'kapitel 04: mit papi allein zu haus (f', 'kapitel 04: mit papi allein zu haus (fo', 'kapitel 04: mit papi allein zu haus (fol', 'kapitel 04: mit papi allein zu haus (folg', 'kapitel 04: mit papi allein zu haus (folge', 'kapitel 04: mit papi allein zu haus (folge ', 'kapitel 04: mit papi allein zu haus (folge 1', 'kapitel 04: mit papi allein zu haus (folge 14', 'kapitel 04: mit papi allein zu haus (folge 141', 'kapitel 04: mit papi allein zu haus (folge 141)']",Folge 141: Mit Papi allein zu Haus,54.0,https://api.spotify.com/v1/tracks/6F70G1nJjYk828Zbm0enRg,0.949,0.725,1.0,0.272,0.528,0.0,0.784,1.0,5.0,Bibi Blocksberg,['hoerspiel']
23,91698.0,spotify:track:7yQWEwWy1qe96VWthHpss7,70.973,https://i.scdn.co/image/ab67616d00001e02f6af94dec7d47a6313cd6307,-25.065,Kapitel 11: Mit Papi allein zu Haus (Folge 141),False,7yQWEwWy1qe96VWthHpss7,0.582,"['k', 'ka', 'kap', 'kapi', 'kapit', 'kapite', 'kapitel', 'kapitel ', 'kapitel 1', 'kapitel 11', 'kapitel 11:', 'kapitel 11: ', 'kapitel 11: m', 'kapitel 11: mi', 'kapitel 11: mit', 'kapitel 11: mit ', 'kapitel 11: mit p', 'kapitel 11: mit pa', 'kapitel 11: mit pap', 'kapitel 11: mit papi', 'kapitel 11: mit papi ', 'kapitel 11: mit papi a', 'kapitel 11: mit papi al', 'kapitel 11: mit papi all', 'kapitel 11: mit papi alle', 'kapitel 11: mit papi allei', 'kapitel 11: mit papi allein', 'kapitel 11: mit papi allein ', 'kapitel 11: mit papi allein z', 'kapitel 11: mit papi allein zu', 'kapitel 11: mit papi allein zu ', 'kapitel 11: mit papi allein zu h', 'kapitel 11: mit papi allein zu ha', 'kapitel 11: mit papi allein zu hau', 'kapitel 11: mit papi allein zu haus', 'kapitel 11: mit papi allein zu haus ', 'kapitel 11: mit papi allein zu haus (', 'kapitel 11: mit papi allein zu haus (f', 'kapitel 11: mit papi allein zu haus (fo', 'kapitel 11: mit papi allein zu haus (fol', 'kapitel 11: mit papi allein zu haus (folg', 'kapitel 11: mit papi allein zu haus (folge', 'kapitel 11: mit papi allein zu haus (folge ', 'kapitel 11: mit papi allein zu haus (folge 1', 'kapitel 11: mit papi allein zu haus (folge 14', 'kapitel 11: mit papi allein zu haus (folge 141', 'kapitel 11: mit papi allein zu haus (folge 141)']",Folge 141: Mit Papi allein zu Haus,53.0,https://api.spotify.com/v1/tracks/7yQWEwWy1qe96VWthHpss7,0.945,0.732,8.0,0.151,0.478,0.0,0.838,1.0,4.0,Bibi Blocksberg,['hoerspiel']
24,91751.0,spotify:track:78SpURCFPdEiHEeM1u2t4O,82.512,https://i.scdn.co/image/ab67616d00001e022e5dc1be1ae9a8baea317a07,-19.868,Kapitel 10: Das Pflegepferd (Folge 104),False,78SpURCFPdEiHEeM1u2t4O,0.67,"['k', 'ka', 'kap', 'kapi', 'kapit', 'kapite', 'kapitel', 'kapitel ', 'kapitel 1', 'kapitel 10', 'kapitel 10:', 'kapitel 10: ', 'kapitel 10: d', 'kapitel 10: da', 'kapitel 10: das', 'kapitel 10: das ', 'kapitel 10: das p', 'kapitel 10: das pf', 'kapitel 10: das pfl', 'kapitel 10: das pfle', 'kapitel 10: das pfleg', 'kapitel 10: das pflege', 'kapitel 10: das pflegep', 'kapitel 10: das pflegepf', 'kapitel 10: das pflegepfe', 'kapitel 10: das pflegepfer', 'kapitel 10: das pflegepferd', 'kapitel 10: das pflegepferd ', 'kapitel 10: das pflegepferd (', 'kapitel 10: das pflegepferd (f', 'kapitel 10: das pflegepferd (fo', 'kapitel 10: das pflegepferd (fol', 'kapitel 10: das pflegepferd (folg', 'kapitel 10: das pflegepferd (folge', 'kapitel 10: das pflegepferd (folge ', 'kapitel 10: das pflegepferd (folge 1', 'kapitel 10: das pflegepferd (folge 10', 'kapitel 10: das pflegepferd (folge 104', 'kapitel 10: das pflegepferd (folge 104)']",Folge 104: Das Pflegepferd,54.0,https://api.spotify.com/v1/tracks/78SpURCFPdEiHEeM1u2t4O,0.906,0.73,1.0,0.409,0.684,0.0,0.481,1.0,4.0,Bibi und Tina,"['hoerspiel', 'kleine hoerspiel']"
25,91796.0,spotify:track:6bw1UPjpLMVoBBQAaeJXM4,68.254,,-19.978,Kapitel 14: Das Pflegepferd (Folge 104),,6bw1UPjpLMVoBBQAaeJXM4,0.774,,,52.0,https://api.spotify.com/v1/tracks/6bw1UPjpLMVoBBQAaeJXM4,0.954,0.633,1.0,0.395,0.645,0.0,0.498,1.0,4.0,,
26,91870.0,spotify:track:6EtKlIQmGPB9SX8UjDJG5s,144.654,https://i.scdn.co/image/ab67616d00001e0289c39ba1acdf33ed7acd3867,-6.068,Formula,False,6EtKlIQmGPB9SX8UjDJG5s,0.146,"['f', 'fo', 'for', 'form', 'formu', 'formul', 'formula']",Euphoria (Original Score from the HBO Series),91.0,https://api.spotify.com/v1/tracks/6EtKlIQmGPB9SX8UjDJG5s,0.0409,0.574,11.0,0.664,0.226,0.0553,0.0448,1.0,4.0,Labrinth,"['indie poptimism', 'pop']"
27,91981.0,spotify:track:0NJWhm3hUwIZSy5s0TGJ8q,95.219,https://i.scdn.co/image/ab67616d00001e02d72fb5571087bca0a2fed008,-10.579,The Story of Tonight,False,0NJWhm3hUwIZSy5s0TGJ8q,0.648,"['t', 'th', 'the', 'the ', 'the s', 'the st', 'the sto', 'the stor', 'the story', 'the story ', 'the story o', 'the story of', 'the story of ', 'the story of t', 'the story of to', 'the story of ton', 'the story of toni', 'the story of tonig', 'the story of tonigh', 'the story of tonight']",Hamilton (Original Broadway Cast Recording),70.0,https://api.spotify.com/v1/tracks/0NJWhm3hUwIZSy5s0TGJ8q,0.0517,0.494,4.0,0.237,0.625,0.0,0.835,1.0,3.0,Lin-Manuel Miranda,['alternative hip hop']
28,92093.0,spotify:track:3LfHBTYZBTqmz43tvVXJBd,167.927,https://i.scdn.co/image/ab67616d00001e02fb023e6073e38a52082cc7b6,-9.915,Deep,True,3LfHBTYZBTqmz43tvVXJBd,0.107,"['d', 'de', 'dee', 'deep']",Last Day Of Summer,74.0,https://api.spotify.com/v1/tracks/3LfHBTYZBTqmz43tvVXJBd,0.247,0.646,3.0,0.335,0.419,1.3e-05,0.626,0.0,4.0,Summer Walker,"['pop', 'r&b']"
29,92129.0,spotify:track:0fBl3ajggcXorR8bkgW87H,72.114,https://i.scdn.co/image/ab67616d00001e022e5dc1be1ae9a8baea317a07,-19.908,Kapitel 11: Das Pflegepferd (Folge 104),False,0fBl3ajggcXorR8bkgW87H,0.163,"['k', 'ka', 'kap', 'kapi', 'kapit', 'kapite', 'kapitel', 'kapitel ', 'kapitel 1', 'kapitel 11', 'kapitel 11:', 'kapitel 11: ', 'kapitel 11: d', 'kapitel 11: da', 'kapitel 11: das', 'kapitel 11: das ', 'kapitel 11: das p', 'kapitel 11: das pf', 'kapitel 11: das pfl', 'kapitel 11: das pfle', 'kapitel 11: das pfleg', 'kapitel 11: das pflege', 'kapitel 11: das pflegep', 'kapitel 11: das pflegepf', 'kapitel 11: das pflegepfe', 'kapitel 11: das pflegepfer', 'kapitel 11: das pflegepferd', 'kapitel 11: das pflegepferd ', 'kapitel 11: das pflegepferd (', 'kapitel 11: das pflegepferd (f', 'kapitel 11: das pflegepferd (fo', 'kapitel 11: das pflegepferd (fol', 'kapitel 11: das pflegepferd (folg', 'kapitel 11: das pflegepferd (folge', 'kapitel 11: das pflegepferd (folge ', 'kapitel 11: das pflegepferd (folge 1', 'kapitel 11: das pflegepferd (folge 10', 'kapitel 11: das pflegepferd (folge 104', 'kapitel 11: das pflegepferd (folge 104)']",Folge 104: Das Pflegepferd,54.0,https://api.spotify.com/v1/tracks/0fBl3ajggcXorR8bkgW87H,0.895,0.71,8.0,0.349,0.766,0.0,0.534,1.0,4.0,Bibi und Tina,"['hoerspiel', 'kleine hoerspiel']"
